Stadium Name,From,To,G,City,State,Primary Team(s)
Bosse Field,1921,1921,4,Evansville,IN,
Canisius Field,1920,1921,17,Buffalo,NY,
Eclipse Park,1921,1921,1,Louisville,KY,
Rochester Baseball Park,1920,1921,11,Rochester,NY,
Staley Field,1920,1921,4,Decatur,IL,
Walnut Street Park,1921,1921,1,Muncie,IN,
Boulevard Field,1920,1920,1,Richmond,VA,
Kishwaukee Park,1920,1920,1,Rockford,IL,
League Park,1920,1920,2,Fort Wayne,IN,
Logan Square Park,1920,1920,1,Chicago,IL,
Lorain Athletic Field,1920,1920,1,Lorain,OH,
Mack Park,1920,1920,4,Detroit,MI,
Mark Athletic Field,1920,1920,2,Zanesville,OH,
McKinley Field,1920,1920,1,Champaign,IL,
Monmouth College Athletic Park,1920,1920,1,Monmouth,IL,
Pullman Athletic Field,1920,1920,1,Chicago,IL,
Pyott's Park,1920,1920,1,Chicago,IL,
St. Rita's Stadium,1920,1920,1,Chicago,IL,
Weiss Field,1920,1920,1,New Haven,CT,
Aloha Stadium,,,0,Honolulu,HI,
IG Field,,,0,Winnipeg,MB,
